title,key,style,tempo,checked,audio_produced,chords,composers
Sweeping Up,G,,,,,"['D7', 'G^7', 'F#m7', 'Bm', 'Em7', 'Bm', 'Am7']","Swallow, Steve"
Red Clay,c,,,,,"['Cm7', 'Bbm7', 'Dbsus', 'Ebsus', 'Fsus', 'Gsus', 'Cm7', 'Bbm7', 'Eb7', 'Ab^7', 'D%7', 'G7']","Hubbard, Freddie"
Bessie's Blues,E-,,,,,"['Eb7', 'Ab7', 'Eb7', 'Eb7', 'Ab7', 'Ab7', 'Eb7', 'Eb7', 'Bb7', 'Ab7', 'Eb7', 'Bb7']","Coltrane, John"
Blues Five Spot,B-,,,,,"['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Ab7', 'Bb7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7']","Monk, Thelonious"
Blues In The Closet,A-,,,,,"['Ab7', 'Ab7', 'Ab7', 'Ab7', 'Db7', 'Db7', 'Ab7', 'Ab7', 'Bbm7', 'Eb7', 'Ab7', 'Ab7']","Pettiford, Oscar"
Blue Sphere,B-,,,,,"['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7']","Monk, Thelonious"
C Jam Blues,C,,,,,"['C7', 'C7', 'C7', 'C7', 'F7', 'F7', 'C7', 'C7', 'G7', 'G7', 'C7', 'C7']","Ellington, Duke"
Cousin Mary,A-,,,,,"['Ab7', 'Ab7', 'Ab7', 'Ab7', 'Db7', 'Db7', 'Ab7', 'Ab7', 'D7', 'Db7', 'Ab7', 'Ab7']","Coltrane, John"
Eighty One,F,,,,,"['Fsus', 'Bbsus', 'Fsus', 'Fsus', 'Bbsus', 'Bbsus', 'Fsus', 'Fsus', 'Csus', 'Bbsus', 'Fsus', 'Fsus']","Carter, Ron"
Equinox,c#,,,,,"['C#m7', 'C#m7', 'C#m7', 'C#m7', 'F#m7', 'F#m7', 'C#m7', 'C#m7', 'A7', 'G#7', 'C#m7', 'C#m7']","Coltrane, John"
"Jody Grind, The",b-,,,,,"['Bbm7', 'Bbm7', 'Bbm7', 'Bbm7', 'Eb7', 'Eb7', 'Bbm7', 'Bbm7', 'A7', 'B7', 'Bbm7', 'Bbm7']","Silver, Horace"
Jumpin With Symphony Sid,B-,,,,,"['Bb7', 'Bb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'F7', 'Eb7', 'Bb7', 'Bb7']","Young, Lester"
"Kicker, The",B-,,,,,"['Bb7', 'Bb7', 'Bb7', 'Bb7', 'Ebm7', 'Ab7', 'Db^7', 'Gb^7', 'C%7', 'F7', 'Bbm7', 'F7']","Henderson, Joe"
Misterioso,B-,,,,,"['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'Cm7', 'F7', 'Bb7', 'Bb7']","Monk, Thelonious"
Mr. P.C.,c,,,,,"['Cm7', 'Cm7', 'Cm7', 'Cm7', 'Fm7', 'Fm7', 'Cm7', 'Cm7', 'Ab7', 'G7', 'Cm7', 'Cm7']","Coltrane, John"
Parker's Mood,B-,,,,,"['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'Cm7', 'F7', 'Bb7', 'F7']","Parker, Charlie"
Some Other Blues,F,,,,,"['F7', 'Bbsus', 'F7', 'B7', 'Bb7', 'Eb7', 'Ab7', 'Db7', 'C7', 'C7', 'F7', 'C7']","Coltrane, John"
St. Louis Blues,G,,,,,"['G7', 'C7', 'G7', 'G7', 'C7', 'C7', 'G7', 'G7', 'D7', 'C7', 'G7', 'D7']","Handy, W.C."
Straight No Chaser,B-,,,,,"['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'F7', 'F7', 'Bb7', 'F7']","Monk, Thelonious"
Tenor Madness,B-,,,,,"['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'Cm7', 'F7', 'Bb7', 'F7']","Rollins, Sonny"
Ba-lue Bolivar Ba-lues-are,B-,,,,,"['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Ab7', 'Eb7', 'G%7', 'C7', 'Cm7', 'F7', 'Bb7', 'Bb7']","Monk, Thelonious"
Blues For Wood,f,,,,,"['Fm7', 'Fm7', 'Fm7', 'Fm7', 'Db7', 'Db7', 'Fm7', 'Fm7', 'Db7', 'Bb^7', 'G%7', 'C7', 'Fm7']","Shaw, Woody"
Chasin' The Trane,F,,,,,"['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'F7']","Coltrane, John"
Fine And Mellow,F,,,,,"['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', 'F7', 'C7', 'Db7', 'C7', 'F7', 'C7']","Holiday, Billie"
Bloomdido,B-,,,,,"['Bb7', 'Cm7', 'F7', 'Bb7', 'Bb7', 'Eb7', 'Ebm7', 'Bb7', 'C#m7', 'Cm7', 'F7', 'Bb7', 'Cm7', 'F7']","Parker, Charlie"
Interplay,f,,,,,"['Fm6', 'Fm6', 'Fm6', 'Fm6', 'F7', 'Bbm7', 'Bbm7', 'Fm6', 'Fm6', 'Db7', 'C7', 'Fm6', 'G%7', 'C7']","Evans, Bill"
Relaxin' At Camarillo,C,,,,,"['C7', 'C7', 'C7', 'C7', 'F7', 'F7', 'C7', 'A7', 'Dm7', 'G7', 'Em7', 'A7', 'Dm7', 'G7']","Parker, Charlie"
Solar,c,,,,,"['Cm^7', 'Cm^7', 'Gm7', 'C7', 'F^7', 'F^7', 'Fm7', 'Bb7', 'Eb^7', 'Ebm7', 'Ab7', 'Db^7', 'D%7', 'G7']","Davis, Miles"
Sonnymoon For Two,B-,,,,,"['Bb7', 'Eb7', 'Bb7', 'Bb7', 'Eb7', 'Eb7', 'Bb7', 'Bb7', 'Cm7', 'F7', 'Bb7', 'G7', 'Cm7', 'F7']","Rollins, Sonny"
Things Ain't What They Used To Be,D-,,,,,"['Db7', 'Gb7', 'Db7', 'Db7', 'Gb7', 'Gb7', 'Db7', 'Db7', 'Ebm7', 'Ab7', 'Db7', 'Bb7', 'Ebm7', 'Ab7']","Ellington, Duke"
Turnaround,C,,,,,"['C7', 'F7', 'C7', 'C7', 'F7', 'Fm7', 'C7', 'C7', 'Cm7', 'Dbm7', 'Bm7', 'Am7', 'C7', 'G7']","Coleman, Ornette"
Bags' Groove,F,,,,,"['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7', 'C7']","Jackson, Milt"
Barbados,F,,,,,"['F7', 'Bb7', 'F7', 'F7', 'Bb7', 'Bo7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7', 'C7']","Parker, Charlie"
Moonchild,e,,,,,"['C#m7', 'F#7', 'Go7', 'G#m7', 'Em7', 'C#m7', 'G#m7', 'Dm7', 'E7', 'Am7', 'Fm7', 'Bb7', 'Am7', 'Em7', 'Em7']","Jarrett, Keith"
Sandu,E-,,,,,"['Eb7', 'Ab7', 'Eb7', 'Eb7', 'Ab7', 'Ab7', 'Eb7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb7', 'C7', 'Fm7', 'Bb7']","Brown, Clifford"
Billie's Bounce,F,,,,,"['F7', 'Bb7', 'F7', 'Cm7', 'F7', 'Bb7', 'Bo7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7', 'C7']","Parker, Charlie"
Birk's Works,f,,,,,"['Fm6', 'G%7', 'C7', 'Fm6', 'C%7', 'F7', 'Bbm7', 'Bbm7', 'Fm6', 'Fm6', 'Abm7', 'Db7', 'G%7', 'C7', 'Fm6', 'Fm6']","Gillespie, Dizzy"
Blue In Green,d,,,,,"['Gm6', 'A7', 'Dm7', 'Db7', 'Cm7', 'F7', 'Bb^7', 'A7', 'Dm6', 'E7', 'Am7', 'Dm7', 'Gm6', 'A7', 'Dm6', 'Dm6']","Davis, Miles & Evans, Bill"
Booker's Waltz,A-,,,,,"['Ab^7', 'Eb7', 'G%7', 'C7', 'Fm7', 'Db7', 'Bb7', 'Db7', 'Ab^7', 'B7', 'Bbm7', 'Eb7', 'Ab^7', 'Ab^7', 'A7', 'A7']","Little, Booker"
Cantaloupe Island,f,,,,,"['Fm7', 'Fm7', 'Fm7', 'Fm7', 'Db7', 'Db7', 'Db7', 'Db7', 'Dm7', 'Dm7', 'Dm7', 'Dm7', 'Fm7', 'Fm7', 'Fm7', 'Fm7']","Hancock, Herbie"
Contemplation,c,,,,,"['Cm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'Ab^7', 'Ab^7', 'Ab^7', 'Ab^7', 'G7', 'G7', 'G7', 'G7']","Tyner, McCoy"
